Country,Year,Country Code,child_obesity%,adult_obesity_Both sexes,adult_obesity_Male,adult_obesity_Female,percentage_pop_urban,Total Population - Both sexes,Total Population - Male,Total Population - Female,pop_undernourrish,adult_lsport_bothsex,adult_lsport_male,adult_lsport_female,child_lsport_bothsex,child_lsport_male,child_lsport_female,PIB/hab in $,Fat_supply_quantity(g_capita_day),Food_supply(kcal_capita_day),Protein_supply_quantity(g/capita/day),Fat_supply_kcal_capita_day,Percentage_supply_fat_capita_day,animal_tne,vegetal_tne,part_aliments_animaux,Continent,%Use_of_Mental_disorders_substance,Alcohol_kcal_day_capita,People per Mcdo,child_obesity_nb,adult_obesity_Both sexes_nb,adult_obesity_Male_nb,adult_obesity_Female_nb,Africa,Americas,Asia,Oceania,Europe,Kmeans
Indonesia,2016,IDN,0.17097,0.069,0.048,0.089,0.53989,261556381,129835522,131720864,0.0918,0.226,0.235,0.217,0.864,0.854,0.874,3568.832647,54.14,2873,66.84,487.26,0.169599721545423,31413,207239,0.1316,Asia,0.106546347703,2,1552941,44718294,18047390,6232105,11723157,0,0,1,0,0,2
Iraq,2016,IRQ,0.28794,0.304,0.234,0.37,0.70094,36610632,18097667,18512965,0.2404,0.52,0.395,0.646,0.85,0.799,0.905,4478.2519,70.6,2470,58.42,635.4,0.257246963562753,3569,25989,0.1207,Asia,0.136623391159,6,38270000,10541665,11129632,4234854,6849797,0,0,1,0,0,0
Ireland,2016,IRL,0.29727,0.253,0.251,0.255,0.62737,4695779,2371266,2324524,0,0.327,0.283,0.371,0.718,0.635,0.805,63588.306753,138.2,3752,109.87,1243.8,0.331503198294243,3762,6583,0.3637,Europe,0.156160646596,227,53753,1395914,1188032,595188,592754,0,0,0,1,0,0
Italy,2016,ITA,0.34807,0.199,0.201,0.195,0.69855,60663060,31206813,29456255,0,0.414,0.362,0.462,0.886,0.859,0.915,31559.512708,149.18,3508,105.88,1342.62,0.382730900798176,47412,73873,0.3909,Europe,0.148844120027,103,103500,21114991,12071949,6272569,5743970,0,0,0,1,0,0
Jordan,2016,JOR,0.15106,0.355,0.282,0.431,0.90506,9554286,4717553,4836733,0.0837,0.119,0.103,0.135,0.848,0.813,0.884,4145.251631,90.49,2717,69.98,814.41,0.299746043430254,1958,6482,0.232,Asia,0.143349233534,1,312968,1443270,3391772,1330350,2084632,0,0,1,0,0,1
Kenya,2016,KEN,0.1346,0.071,0.028,0.111,0.26105,49051534,24684280,24367251,0.2344,0.154,0.139,0.169,0.868,0.849,0.889,1427.704067,43.52,2120,62.55,391.68,0.184754716981132,10493,36521,0.2232,Africa,0.123260685208,29,,6602336,3482659,691160,2704765,1,0,0,0,0,2
Kiribati,2016,KIR,0.38792,0.46,0.416,0.504,0.5245,112524,57251,55278,0.8887,0.404,0.345,0.458,0.825,0.793,0.859,1587.041377,103.13,3080,75.85,928.17,0.301353896103896,23,108,0.1756,Oceania,0.113731083209,7,,43650,51761,23816,27860,0,0,0,0,1,0
Kuwait,2016,KWT,0.53682,0.379,0.333,0.456,1,3956875,1610201,2346661,0,0.67,0.613,0.746,0.843,0.794,0.9,26996.71954,106.38,3438,99.74,957.42,0.27848167539267,1717,3809,0.3107,Asia,0.141119068369,0,57458,2124130,1499656,536197,1070077,0,0,1,0,0,1
Lao,2016,LAO,0.0777,0.053,0.037,0.067,0.33736,6845846,3409178,3436670,0,0.163,0.117,0.206,0.844,0.78,0.91,2338.689986,48.96,3080,83.71,440.64,0.143064935064935,652,7380,0.0812,Asia,0.120458490141,61,,531922,362830,126140,230257,0,0,1,0,0,2
Latvia,2016,LVA,0.21883,0.236,0.216,0.251,0.68021,1974266,1068471,905794,0,0.295,0.254,0.329,0.801,0.762,0.842,14074.457236,120.01,3122,95.36,1080.09,0.345960922485586,1282,2285,0.3594,Europe,0.116256514046,180,147690,432029,465927,230790,227354,0,0,0,1,0,0
