"","","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)"
"Country","Year"," Both sexes"," Male"," Female"
"Haiti"," 2010","No data","No data","No data"
"Honduras"," 2016","83.8 [81.6-85.8]","80.2 [77.6-82.5]","87.6 [85.7-89.2]"
"Honduras"," 2015","83.9 [81.7-85.8]","80.3 [77.8-82.6]","87.5 [85.7-89.2]"
"Honduras"," 2014","83.9 [81.7-85.8]","80.4 [77.9-82.6]","87.5 [85.7-89.1]"
"Honduras"," 2013","83.9 [81.8-85.8]","80.5 [78.0-82.7]","87.5 [85.7-89.1]"
"Honduras"," 2012","84.0 [81.8-85.9]","80.5 [78.1-82.7]","87.5 [85.7-89.1]"
"Honduras"," 2011","84.0 [81.9-85.9]","80.6 [78.2-82.8]","87.4 [85.6-89.1]"
"Honduras"," 2010","84.0 [81.9-85.9]","80.7 [78.3-82.9]","87.4 [85.6-89.0]"
"Honduras"," 2009","84.0 [81.9-85.9]","80.8 [78.4-82.9]","87.4 [85.6-89.0]"
"Honduras"," 2008","84.1 [82.0-86.0]","80.9 [78.5-83.0]","87.4 [85.5-89.0]"
"Honduras"," 2007","84.1 [82.0-86.0]","80.9 [78.5-83.1]","87.4 [85.5-89.0]"
"Honduras"," 2006","84.1 [82.0-86.1]","81.0 [78.6-83.2]","87.3 [85.5-89.0]"
"Honduras"," 2005","84.2 [82.0-86.1]","81.1 [78.7-83.3]","87.3 [85.4-89.0]"
"Honduras"," 2004","84.2 [82.0-86.2]","81.2 [78.7-83.4]","87.3 [85.3-89.0]"
"Honduras"," 2003","84.2 [82.0-86.2]","81.2 [78.7-83.5]","87.3 [85.3-89.0]"
"Honduras"," 2002","84.3 [82.0-86.3]","81.3 [78.8-83.6]","87.2 [85.2-89.0]"
"Honduras"," 2001","84.3 [82.0-86.4]","81.4 [78.8-83.7]","87.2 [85.1-89.0]"
"Hungary"," 2016","79.5 [76.3-82.3]","73.5 [69.8-76.9]","85.8 [83.1-88.0]"
"Hungary"," 2015","79.5 [76.4-82.3]","73.6 [70.0-76.9]","85.7 [83.2-88.0]"
"Hungary"," 2014","79.6 [76.5-82.3]","73.7 [70.1-77.0]","85.7 [83.2-88.0]"
"Hungary"," 2013","79.6 [76.6-82.3]","73.8 [70.3-77.0]","85.7 [83.2-87.9]"
"Hungary"," 2012","79.7 [76.7-82.3]","73.9 [70.5-77.1]","85.7 [83.2-87.9]"
"Hungary"," 2011","79.7 [76.8-82.4]","74.0 [70.7-77.1]","85.7 [83.2-87.9]"
"Hungary"," 2010","79.8 [76.9-82.4]","74.1 [70.8-77.2]","85.7 [83.2-87.9]"
"Hungary"," 2009","79.8 [77.0-82.4]","74.2 [71.0-77.2]","85.7 [83.2-87.8]"
"Hungary"," 2008","79.9 [77.0-82.4]","74.3 [71.1-77.3]","85.7 [83.2-87.8]"
"Hungary"," 2007","79.9 [77.1-82.5]","74.4 [71.2-77.4]","85.7 [83.2-87.8]"
"Hungary"," 2006","80.0 [77.2-82.5]","74.5 [71.4-77.5]","85.7 [83.2-87.8]"
"Hungary"," 2005","80.0 [77.2-82.6]","74.6 [71.5-77.6]","85.7 [83.2-87.8]"
"Hungary"," 2004","80.1 [77.3-82.6]","74.7 [71.6-77.6]","85.6 [83.2-87.8]"
"Hungary"," 2003","80.1 [77.3-82.7]","74.8 [71.7-77.7]","85.6 [83.1-87.8]"
"Hungary"," 2002","80.2 [77.3-82.7]","74.9 [71.8-77.9]","85.6 [83.1-87.8]"
"Hungary"," 2001","80.2 [77.4-82.8]","75.0 [71.9-78.0]","85.6 [83.1-87.9]"
"Iceland"," 2016","80.3 [77.6-82.7]","75.4 [72.3-78.3]","85.2 [83.0-87.3]"
"Iceland"," 2015","80.3 [77.7-82.7]","75.5 [72.5-78.3]","85.2 [83.0-87.2]"
"Iceland"," 2014","80.4 [77.8-82.7]","75.6 [72.7-78.3]","85.2 [83.0-87.2]"
"Iceland"," 2013","80.4 [77.9-82.7]","75.7 [72.8-78.4]","85.3 [83.1-87.2]"
"Iceland"," 2012","80.4 [78.0-82.7]","75.8 [73.0-78.4]","85.3 [83.1-87.2]"
"Iceland"," 2011","80.5 [78.1-82.7]","75.9 [73.2-78.5]","85.3 [83.2-87.1]"
"Iceland"," 2010","80.5 [78.2-82.7]","76.0 [73.4-78.5]","85.3 [83.2-87.1]"
"Iceland"," 2009","80.6 [78.2-82.7]","76.1 [73.5-78.6]","85.3 [83.2-87.1]"
"Iceland"," 2008","80.6 [78.3-82.8]","76.2 [73.7-78.6]","85.3 [83.2-87.1]"
"Iceland"," 2007","80.7 [78.4-82.8]","76.3 [73.8-78.7]","85.3 [83.2-87.1]"
"Iceland"," 2006","80.8 [78.5-82.9]","76.4 [73.9-78.8]","85.3 [83.2-87.1]"
"Iceland"," 2005","80.8 [78.5-82.9]","76.6 [74.1-78.9]","85.3 [83.2-87.1]"
"Iceland"," 2004","80.9 [78.6-83.0]","76.7 [74.2-79.0]","85.3 [83.2-87.2]"
"Iceland"," 2003","80.9 [78.6-83.0]","76.8 [74.3-79.1]","85.3 [83.2-87.2]"
"Iceland"," 2002","81.0 [78.7-83.1]","76.9 [74.4-79.2]","85.3 [83.2-87.2]"
"Iceland"," 2001","81.0 [78.7-83.2]","77.0 [74.4-79.3]","85.3 [83.1-87.2]"
"India"," 2016","73.9 [66.8-80.0]","71.8 [64.4-78.2]","76.3 [69.4-82.1]"
"India"," 2015","74.1 [67.0-80.2]","72.1 [64.8-78.4]","76.3 [69.4-82.1]"
"India"," 2014","74.3 [67.2-80.3]","72.5 [65.2-78.7]","76.4 [69.5-82.1]"
"India"," 2013","74.5 [67.4-80.5]","72.8 [65.6-79.0]","76.4 [69.5-82.1]"
"India"," 2012","74.7 [67.6-80.6]","73.1 [65.9-79.3]","76.4 [69.5-82.1]"
"India"," 2011","74.9 [67.8-80.8]","73.4 [66.3-79.5]","76.4 [69.5-82.1]"
"India"," 2010","75.0 [68.0-80.9]","73.8 [66.7-79.8]","76.4 [69.6-82.2]"
"India"," 2009","75.2 [68.2-81.1]","74.1 [67.0-80.1]","76.5 [69.6-82.2]"
"India"," 2008","75.4 [68.4-81.2]","74.4 [67.4-80.4]","76.5 [69.6-82.2]"
"India"," 2007","75.6 [68.6-81.4]","74.7 [67.7-80.6]","76.5 [69.6-82.2]"
"India"," 2006","75.7 [68.8-81.6]","75.0 [68.1-80.9]","76.5 [69.6-82.3]"
"India"," 2005","75.9 [69.0-81.7]","75.4 [68.4-81.2]","76.5 [69.6-82.3]"
"India"," 2004","76.1 [69.1-81.9]","75.7 [68.8-81.4]","76.6 [69.6-82.3]"
"India"," 2003","76.3 [69.3-82.0]","76.0 [69.1-81.7]","76.6 [69.6-82.4]"
"India"," 2002","76.4 [69.5-82.2]","76.3 [69.4-82.0]","76.6 [69.6-82.4]"
"India"," 2001","76.6 [69.6-82.4]","76.6 [69.7-82.3]","76.6 [69.5-82.5]"
"Indonesia"," 2016","86.4 [83.6-88.8]","85.4 [82.5-87.9]","87.4 [84.7-89.7]"
"Indonesia"," 2015","86.4 [83.6-88.7]","85.4 [82.5-87.9]","87.4 [84.7-89.6]"
"Indonesia"," 2014","86.3 [83.6-88.7]","85.4 [82.5-87.8]","87.4 [84.7-89.6]"
"Indonesia"," 2013","86.3 [83.6-88.7]","85.4 [82.5-87.8]","87.3 [84.7-89.6]"
"Indonesia"," 2012","86.3 [83.6-88.7]","85.3 [82.5-87.8]","87.3 [84.7-89.6]"
"Indonesia"," 2011","86.3 [83.6-88.6]","85.3 [82.5-87.8]","87.3 [84.7-89.6]"
"Indonesia"," 2010","86.3 [83.5-88.6]","85.3 [82.5-87.7]","87.3 [84.7-89.6]"
"Indonesia"," 2009","86.3 [83.5-88.6]","85.3 [82.5-87.7]","87.3 [84.6-89.6]"
"Indonesia"," 2008","86.3 [83.5-88.6]","85.3 [82.4-87.7]","87.3 [84.6-89.6]"
"Indonesia"," 2007","86.2 [83.5-88.6]","85.2 [82.4-87.7]","87.3 [84.6-89.6]"
"Indonesia"," 2006","86.2 [83.4-88.6]","85.2 [82.4-87.7]","87.3 [84.6-89.6]"
"Indonesia"," 2005","86.2 [83.4-88.6]","85.2 [82.3-87.7]","87.3 [84.5-89.6]"
"Indonesia"," 2004","86.2 [83.4-88.6]","85.2 [82.3-87.7]","87.3 [84.5-89.6]"
"Indonesia"," 2003","86.2 [83.3-88.6]","85.2 [82.2-87.7]","87.2 [84.4-89.6]"
"Indonesia"," 2002","86.2 [83.3-88.6]","85.1 [82.2-87.7]","87.2 [84.4-89.6]"
"Indonesia"," 2001","86.1 [83.2-88.6]","85.1 [82.1-87.7]","87.2 [84.4-89.6]"
"Iran (Islamic Republic of)"," 2010","No data","No data","No data"
"Iraq"," 2016","85.0 [82.5-87.2]","79.9 [76.7-82.7]","90.5 [88.7-92.0]"
"Iraq"," 2015","85.0 [82.6-87.2]","79.9 [76.8-82.7]","90.4 [88.7-92.0]"
"Iraq"," 2014","85.0 [82.6-87.2]","79.9 [76.9-82.7]","90.4 [88.6-91.9]"
"Iraq"," 2013","85.0 [82.6-87.2]","80.0 [76.9-82.7]","90.4 [88.6-91.9]"
"Iraq"," 2012","85.0 [82.7-87.2]","80.0 [77.0-82.7]","90.4 [88.6-91.9]"
"Iraq"," 2011","85.1 [82.7-87.2]","80.0 [77.1-82.7]","90.4 [88.6-91.9]"
"Iraq"," 2010","85.1 [82.7-87.2]","80.1 [77.1-82.7]","90.3 [88.6-91.8]"
"Iraq"," 2009","85.1 [82.7-87.2]","80.1 [77.1-82.8]","90.3 [88.5-91.8]"
"Iraq"," 2008","85.1 [82.7-87.2]","80.1 [77.2-82.8]","90.3 [88.5-91.8]"
"Iraq"," 2007","85.1 [82.7-87.2]","80.2 [77.2-82.8]","90.3 [88.5-91.8]"
"Iraq"," 2006","85.1 [82.7-87.2]","80.2 [77.2-82.9]","90.3 [88.4-91.8]"
"Iraq"," 2005","85.1 [82.7-87.2]","80.2 [77.2-82.9]","90.2 [88.4-91.8]"
"Iraq"," 2004","85.1 [82.6-87.3]","80.3 [77.2-83.0]","90.2 [88.4-91.8]"
"Iraq"," 2003","85.1 [82.6-87.3]","80.3 [77.2-83.0]","90.2 [88.3-91.8]"
"Iraq"," 2002","85.1 [82.6-87.3]","80.3 [77.2-83.1]","90.2 [88.3-91.8]"
"Iraq"," 2001","85.1 [82.6-87.4]","80.4 [77.2-83.2]","90.2 [88.2-91.8]"
"Ireland"," 2016","71.8 [68.3-75.0]","63.5 [59.5-67.3]","80.5 [77.6-83.2]"
"Ireland"," 2015","72.0 [68.7-75.2]","64.0 [60.1-67.7]","80.5 [77.6-83.1]"
"Ireland"," 2014","72.3 [69.0-75.4]","64.5 [60.7-68.1]","80.5 [77.7-83.1]"
"Ireland"," 2013","72.6 [69.3-75.6]","65.0 [61.3-68.4]","80.5 [77.7-83.1]"
"Ireland"," 2012","72.8 [69.6-75.8]","65.4 [61.9-68.8]","80.5 [77.8-83.0]"
"Ireland"," 2011","73.1 [69.9-76.0]","65.9 [62.5-69.2]","80.5 [77.8-83.0]"
"Ireland"," 2010","73.3 [70.2-76.1]","66.4 [63.0-69.6]","80.5 [77.8-83.0]"
"Ireland"," 2009","73.5 [70.5-76.3]","66.9 [63.6-70.0]","80.5 [77.8-83.0]"
"Ireland"," 2008","73.8 [70.8-76.6]","67.3 [64.1-70.4]","80.5 [77.9-83.0]"
"Ireland"," 2007","74.0 [71.1-76.8]","67.8 [64.6-70.8]","80.5 [77.9-83.0]"
"Ireland"," 2006","74.3 [71.3-77.0]","68.3 [65.1-71.2]","80.5 [77.9-83.0]"
"Ireland"," 2005","74.5 [71.6-77.2]","68.7 [65.6-71.7]","80.6 [77.9-83.0]"
"Ireland"," 2004","74.7 [71.8-77.4]","69.2 [66.1-72.1]","80.6 [77.8-83.0]"
"Ireland"," 2003","74.9 [72.0-77.6]","69.6 [66.6-72.5]","80.6 [77.8-83.0]"
"Ireland"," 2002","75.2 [72.3-77.9]","70.1 [67.0-73.0]","80.6 [77.8-83.1]"
"Ireland"," 2001","75.4 [72.5-78.1]","70.5 [67.4-73.4]","80.6 [77.8-83.1]"
"Israel"," 2016","84.7 [82.5-86.7]","80.1 [77.4-82.5]","89.5 [87.8-91.0]"
"Israel"," 2015","84.6 [82.5-86.6]","80.0 [77.4-82.4]","89.5 [87.8-91.0]"
"Israel"," 2014","84.6 [82.5-86.5]","80.0 [77.4-82.3]","89.5 [87.8-90.9]"
"Israel"," 2013","84.5 [82.5-86.4]","79.9 [77.4-82.2]","89.4 [87.8-90.9]"
"Israel"," 2012","84.5 [82.5-86.3]","79.9 [77.4-82.1]","89.4 [87.8-90.8]"
"Israel"," 2011","84.5 [82.5-86.3]","79.8 [77.4-82.0]","89.4 [87.8-90.8]"
"Israel"," 2010","84.4 [82.4-86.2]","79.7 [77.4-81.9]","89.4 [87.8-90.7]"
"Israel"," 2009","84.4 [82.4-86.2]","79.7 [77.4-81.8]","89.3 [87.8-90.7]"
"Israel"," 2008","84.3 [82.4-86.1]","79.6 [77.3-81.8]","89.3 [87.7-90.7]"
"Israel"," 2007","84.3 [82.4-86.1]","79.6 [77.3-81.7]","89.3 [87.7-90.7]"
"Israel"," 2006","84.3 [82.3-86.0]","79.5 [77.2-81.6]","89.2 [87.7-90.6]"
"Israel"," 2005","84.2 [82.3-86.0]","79.5 [77.2-81.6]","89.2 [87.6-90.6]"
"Israel"," 2004","84.2 [82.2-86.0]","79.4 [77.1-81.5]","89.2 [87.6-90.6]"
"Israel"," 2003","84.1 [82.2-85.9]","79.3 [77.1-81.5]","89.2 [87.5-90.6]"
"Israel"," 2002","84.1 [82.1-85.9]","79.3 [77.0-81.4]","89.1 [87.5-90.6]"
"Israel"," 2001","84.1 [82.0-85.9]","79.2 [76.9-81.4]","89.1 [87.4-90.6]"
"Italy"," 2016","88.6 [86.8-90.2]","85.9 [83.9-87.8]","91.5 [90.0-92.7]"
"Italy"," 2015","88.5 [86.8-90.0]","85.7 [83.7-87.6]","91.4 [90.0-92.6]"
"Italy"," 2014","88.4 [86.7-89.9]","85.6 [83.5-87.4]","91.3 [89.9-92.6]"
"Italy"," 2013","88.3 [86.6-89.8]","85.4 [83.4-87.1]","91.3 [89.9-92.5]"
"Italy"," 2012","88.1 [86.5-89.6]","85.2 [83.2-86.9]","91.2 [89.9-92.4]"
"Italy"," 2011","88.0 [86.3-89.5]","85.0 [83.1-86.7]","91.2 [89.8-92.4]"
"Italy"," 2010","87.9 [86.2-89.3]","84.8 [82.9-86.5]","91.1 [89.8-92.3]"
"Italy"," 2009","87.7 [86.1-89.2]","84.6 [82.7-86.3]","91.1 [89.7-92.3]"
"Italy"," 2008","87.6 [86.0-89.1]","84.4 [82.5-86.1]","91.0 [89.7-92.2]"
"Italy"," 2007","87.5 [85.8-88.9]","84.2 [82.3-85.9]","91.0 [89.6-92.2]"
"Italy"," 2006","87.3 [85.7-88.8]","84.0 [82.1-85.7]","90.9 [89.5-92.1]"
"Italy"," 2005","87.2 [85.6-88.7]","83.8 [81.9-85.5]","90.8 [89.5-92.1]"
"Italy"," 2004","87.1 [85.4-88.6]","83.5 [81.6-85.3]","90.8 [89.4-92.0]"
"Italy"," 2003","86.9 [85.3-88.4]","83.3 [81.4-85.1]","90.7 [89.3-92.0]"
"Italy"," 2002","86.8 [85.1-88.3]","83.1 [81.2-84.9]","90.7 [89.2-91.9]"
"Italy"," 2001","86.7 [84.9-88.2]","82.9 [80.9-84.7]","90.6 [89.2-91.9]"
"Jamaica"," 2010","No data","No data","No data"
"Japan"," 2010","No data","No data","No data"
"Jordan"," 2016","84.8 [82.2-87.1]","81.3 [78.3-84.0]","88.4 [86.2-90.3]"
"Jordan"," 2015","84.8 [82.2-87.0]","81.3 [78.3-84.0]","88.4 [86.2-90.3]"
"Jordan"," 2014","84.8 [82.2-87.0]","81.3 [78.3-83.9]","88.4 [86.2-90.2]"
"Jordan"," 2013","84.7 [82.2-87.0]","81.3 [78.3-83.9]","88.4 [86.2-90.2]"
"Jordan"," 2012","84.7 [82.2-87.0]","81.3 [78.3-83.9]","88.4 [86.2-90.2]"
"Jordan"," 2011","84.7 [82.2-86.9]","81.3 [78.3-83.9]","88.4 [86.2-90.2]"
"Jordan"," 2010","84.7 [82.2-86.9]","81.2 [78.3-83.8]","88.3 [86.2-90.2]"
"Jordan"," 2009","84.7 [82.2-86.9]","81.2 [78.3-83.8]","88.3 [86.2-90.2]"
"Jordan"," 2008","84.7 [82.1-86.9]","81.2 [78.3-83.8]","88.3 [86.2-90.2]"
"Jordan"," 2007","84.7 [82.1-86.9]","81.2 [78.3-83.8]","88.3 [86.2-90.2]"
"Jordan"," 2006","84.7 [82.1-86.9]","81.2 [78.3-83.8]","88.3 [86.1-90.2]"
"Jordan"," 2005","84.6 [82.1-86.9]","81.2 [78.2-83.9]","88.3 [86.1-90.2]"
"Jordan"," 2004","84.6 [82.0-86.9]","81.2 [78.2-83.9]","88.3 [86.1-90.2]"
"Jordan"," 2003","84.6 [82.0-86.9]","81.2 [78.2-83.9]","88.3 [86.0-90.2]"
"Jordan"," 2002","84.6 [81.9-87.0]","81.2 [78.1-83.9]","88.3 [86.0-90.2]"
"Jordan"," 2001","84.6 [81.9-87.0]","81.2 [78.1-83.9]","88.2 [85.9-90.2]"
"Kazakhstan"," 2010","No data","No data","No data"
"Kenya"," 2016","86.8 [84.2-89.1]","84.9 [82.0-87.4]","88.9 [86.4-90.9]"
"Kenya"," 2015","86.9 [84.2-89.1]","84.9 [82.0-87.4]","88.8 [86.4-90.9]"
"Kenya"," 2014","86.9 [84.3-89.1]","84.9 [82.1-87.4]","88.8 [86.4-90.8]"
"Kenya"," 2013","86.9 [84.3-89.1]","84.9 [82.2-87.4]","88.8 [86.4-90.8]"
"Kenya"," 2012","86.9 [84.3-89.1]","85.0 [82.2-87.4]","88.8 [86.4-90.8]"
"Kenya"," 2011","86.9 [84.3-89.1]","85.0 [82.3-87.4]","88.8 [86.4-90.8]"
"Kenya"," 2010","86.9 [84.3-89.1]","85.0 [82.3-87.4]","88.7 [86.4-90.7]"
"Kenya"," 2009","86.9 [84.4-89.1]","85.1 [82.4-87.4]","88.7 [86.4-90.7]"
"Kenya"," 2008","86.9 [84.4-89.1]","85.1 [82.4-87.5]","88.7 [86.4-90.7]"
"Kenya"," 2007","86.9 [84.4-89.1]","85.1 [82.4-87.5]","88.7 [86.3-90.7]"
"Kenya"," 2006","86.9 [84.4-89.1]","85.2 [82.5-87.5]","88.7 [86.3-90.7]"
"Kenya"," 2005","86.9 [84.4-89.1]","85.2 [82.5-87.5]","88.7 [86.3-90.7]"
"Kenya"," 2004","86.9 [84.4-89.1]","85.2 [82.5-87.6]","88.6 [86.2-90.7]"
"Kenya"," 2003","86.9 [84.4-89.1]","85.3 [82.5-87.6]","88.6 [86.2-90.7]"
"Kenya"," 2002","86.9 [84.3-89.2]","85.3 [82.6-87.7]","88.6 [86.2-90.7]"
"Kenya"," 2001","86.9 [84.3-89.2]","85.3 [82.6-87.7]","88.6 [86.1-90.7]"
"Kiribati"," 2016","82.5 [79.2-85.4]","79.3 [75.6-82.6]","85.9 [83.0-88.3]"
"Kiribati"," 2015","82.6 [79.3-85.4]","79.5 [75.8-82.7]","85.8 [83.0-88.3]"
"Kiribati"," 2014","82.6 [79.4-85.5]","79.6 [76.0-82.8]","85.8 [83.0-88.3]"
"Kiribati"," 2013","82.7 [79.5-85.6]","79.8 [76.2-83.0]","85.8 [83.0-88.3]"
"Kiribati"," 2012","82.8 [79.6-85.6]","79.9 [76.3-83.1]","85.8 [83.0-88.3]"
"Kiribati"," 2011","82.9 [79.7-85.7]","80.1 [76.5-83.2]","85.8 [83.0-88.3]"
"Kiribati"," 2010","83.0 [79.8-85.8]","80.2 [76.7-83.4]","85.8 [83.0-88.2]"
"Kiribati"," 2009","83.0 [79.8-85.8]","80.4 [76.8-83.5]","85.8 [82.9-88.3]"
"Kiribati"," 2008","83.1 [79.9-85.9]","80.5 [77.0-83.7]","85.8 [82.9-88.3]"
"Kiribati"," 2007","83.2 [79.9-86.0]","80.7 [77.1-83.8]","85.8 [82.9-88.3]"
"Kiribati"," 2006","83.2 [80.0-86.0]","80.8 [77.3-83.9]","85.8 [82.9-88.3]"
"Kiribati"," 2005","83.3 [80.0-86.1]","81.0 [77.4-84.1]","85.8 [82.8-88.3]"
"Kiribati"," 2004","83.4 [80.1-86.2]","81.1 [77.5-84.3]","85.8 [82.8-88.3]"
"Kiribati"," 2003","83.5 [80.1-86.3]","81.3 [77.7-84.4]","85.8 [82.7-88.3]"
"Kiribati"," 2002","83.5 [80.2-86.4]","81.4 [77.8-84.6]","85.8 [82.7-88.3]"
"Kiribati"," 2001","83.6 [80.2-86.5]","81.6 [77.9-84.7]","85.7 [82.7-88.4]"
"Kuwait"," 2016","84.3 [81.5-86.8]","79.4 [76.0-82.5]","90.0 [87.9-91.7]"
"Kuwait"," 2015","84.3 [81.6-86.8]","79.5 [76.1-82.5]","90.0 [87.9-91.7]"
"Kuwait"," 2014","84.4 [81.6-86.8]","79.5 [76.1-82.5]","90.0 [87.9-91.7]"
"Kuwait"," 2013","84.5 [81.7-86.9]","79.5 [76.2-82.5]","90.0 [87.9-91.7]"
"Kuwait"," 2012","84.6 [81.8-86.9]","79.6 [76.2-82.6]","90.0 [87.9-91.7]"
"Kuwait"," 2011","84.7 [82.0-87.0]","79.6 [76.3-82.6]","90.0 [87.9-91.7]"
"Kuwait"," 2010","84.8 [82.1-87.1]","79.6 [76.3-82.6]","90.0 [87.9-91.7]"
"Kuwait"," 2009","84.9 [82.2-87.2]","79.7 [76.3-82.6]","90.0 [87.9-91.7]"
"Kuwait"," 2008","84.9 [82.2-87.3]","79.7 [76.4-82.7]","90.0 [87.9-91.7]"
"Kuwait"," 2007","84.9 [82.2-87.3]","79.7 [76.4-82.7]","90.0 [87.9-91.7]"
"Kuwait"," 2006","84.8 [82.1-87.2]","79.8 [76.4-82.8]","89.9 [87.8-91.7]"
"Kuwait"," 2005","84.7 [81.9-87.1]","79.8 [76.4-82.8]","89.9 [87.8-91.7]"
"Kuwait"," 2004","84.6 [81.8-87.1]","79.8 [76.4-82.9]","89.9 [87.8-91.7]"
"Kuwait"," 2003","84.6 [81.7-87.1]","79.9 [76.4-82.9]","89.9 [87.8-91.8]"
"Kuwait"," 2002","84.6 [81.7-87.1]","79.9 [76.4-83.0]","89.9 [87.7-91.8]"
"Kuwait"," 2001","84.6 [81.7-87.2]","79.9 [76.4-83.0]","89.9 [87.7-91.8]"
"Kyrgyzstan"," 2010","No data","No data","No data"
"Lao People's Democratic Republic"," 2016","84.4 [81.5-87.0]","78.0 [74.1-81.5]","91.0 [89.0-92.7]"
"Lao People's Democratic Republic"," 2015","84.5 [81.6-87.1]","78.3 [74.4-81.7]","91.0 [89.0-92.7]"
"Lao People's Democratic Republic"," 2014","84.7 [81.7-87.2]","78.5 [74.7-81.9]","91.0 [89.0-92.6]"
"Lao People's Democratic Republic"," 2013","84.8 [81.9-87.3]","78.8 [75.0-82.1]","90.9 [88.9-92.6]"
"Lao People's Democratic Republic"," 2012","84.9 [82.0-87.4]","79.0 [75.3-82.3]","90.9 [88.9-92.6]"
"Lao People's Democratic Republic"," 2011","85.0 [82.1-87.5]","79.2 [75.6-82.5]","90.9 [88.8-92.6]"
"Lao People's Democratic Republic"," 2010","85.1 [82.2-87.6]","79.5 [75.8-82.7]","90.8 [88.8-92.5]"
"Lao People's Democratic Republic"," 2009","85.2 [82.3-87.7]","79.7 [76.1-82.9]","90.8 [88.7-92.5]"
"Lao People's Democratic Republic"," 2008","85.3 [82.4-87.8]","79.9 [76.3-83.1]","90.8 [88.7-92.5]"
"Lao People's Democratic Republic"," 2007","85.4 [82.5-87.9]","80.2 [76.5-83.4]","90.7 [88.6-92.5]"
"Lao People's Democratic Republic"," 2006","85.5 [82.6-88.0]","80.4 [76.8-83.6]","90.7 [88.6-92.5]"
"Lao People's Democratic Republic"," 2005","85.6 [82.7-88.1]","80.6 [77.0-83.8]","90.7 [88.5-92.5]"
"Lao People's Democratic Republic"," 2004","85.7 [82.8-88.2]","80.8 [77.2-84.0]","90.6 [88.4-92.4]"
"Lao People's Democratic Republic"," 2003","85.8 [82.8-88.3]","81.1 [77.4-84.2]","90.6 [88.4-92.4]"
"Lao People's Democratic Republic"," 2002","85.9 [82.9-88.4]","81.3 [77.6-84.5]","90.6 [88.3-92.4]"
"Lao People's Democratic Republic"," 2001","86.0 [83.0-88.5]","81.5 [77.8-84.7]","90.5 [88.2-92.4]"
"Latvia"," 2016","80.1 [76.9-82.9]","76.2 [72.7-79.3]","84.2 [81.4-86.6]"
"Latvia"," 2015","80.1 [77.0-82.9]","76.2 [72.8-79.3]","84.2 [81.4-86.6]"
"Latvia"," 2014","80.1 [77.0-82.8]","76.2 [72.9-79.2]","84.2 [81.4-86.6]"
"Latvia"," 2013","80.1 [77.1-82.8]","76.2 [72.9-79.2]","84.2 [81.5-86.6]"
"Latvia"," 2012","80.1 [77.1-82.7]","76.2 [73.0-79.1]","84.2 [81.5-86.6]"
"Latvia"," 2011","80.1 [77.2-82.7]","76.2 [73.0-79.1]","84.2 [81.5-86.6]"
"Latvia"," 2010","80.1 [77.2-82.7]","76.2 [73.1-79.1]","84.2 [81.6-86.6]"
"Latvia"," 2009","80.1 [77.2-82.7]","76.2 [73.1-79.0]","84.2 [81.6-86.6]"
"Latvia"," 2008","80.1 [77.3-82.7]","76.2 [73.1-79.0]","84.2 [81.6-86.6]"
"Latvia"," 2007","80.1 [77.3-82.7]","76.2 [73.1-79.0]","84.2 [81.6-86.6]"
"Latvia"," 2006","80.1 [77.3-82.7]","76.2 [73.1-79.0]","84.2 [81.6-86.6]"
"Latvia"," 2005","80.1 [77.3-82.7]","76.2 [73.1-79.0]","84.3 [81.6-86.6]"
"Latvia"," 2004","80.1 [77.3-82.7]","76.2 [73.1-79.0]","84.3 [81.6-86.6]"
"Latvia"," 2003","80.1 [77.2-82.7]","76.2 [73.1-79.0]","84.3 [81.6-86.6]"
"Latvia"," 2002","80.1 [77.2-82.7]","76.2 [73.1-79.0]","84.3 [81.5-86.7]"
"Latvia"," 2001","80.1 [77.2-82.8]","76.2 [73.1-79.0]","84.3 [81.5-86.7]"
"Lebanon"," 2016","82.1 [79.1-84.7]","76.0 [72.4-79.2]","87.9 [85.6-89.9]"
"Lebanon"," 2015","82.1 [79.2-84.7]","76.1 [72.6-79.3]","87.9 [85.6-89.8]"
"Lebanon"," 2014","82.2 [79.3-84.8]","76.3 [72.8-79.4]","87.9 [85.6-89.8]"
"Lebanon"," 2013","82.3 [79.4-84.8]","76.4 [72.9-79.5]","87.9 [85.6-89.8]"
"Lebanon"," 2012","82.4 [79.5-84.9]","76.5 [73.1-79.6]","87.9 [85.6-89.8]"
"Lebanon"," 2011","82.4 [79.6-84.9]","76.7 [73.3-79.8]","87.9 [85.6-89.8]"
"Lebanon"," 2010","82.5 [79.7-85.0]","76.8 [73.4-79.9]","87.8 [85.6-89.8]"
"Lebanon"," 2009","82.6 [79.8-85.0]","76.9 [73.6-80.0]","87.8 [85.6-89.8]"
"Lebanon"," 2008","82.6 [79.8-85.1]","77.1 [73.7-80.1]","87.8 [85.6-89.8]"
"Lebanon"," 2007","82.7 [79.9-85.2]","77.2 [73.9-80.3]","87.8 [85.6-89.8]"
"Lebanon"," 2006","82.7 [79.9-85.2]","77.4 [74.0-80.4]","87.8 [85.5-89.8]"
"Lebanon"," 2005","82.8 [80.0-85.3]","77.5 [74.1-80.6]","87.8 [85.5-89.8]"
